[2026-01-02 04:35:33] [INFO] === Z-VulnScan Professional v2.2.0 Logger Started ===
[2026-01-02 04:35:36] [DEBUG] Loaded backend qtagg version 6.10.1.
[2026-01-02 04:35:36] [DEBUG] findfont: Matching Malgun Gothic:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2026-01-02 04:35:36] [DEBUG] findfont: score(FontEntry(fname='C:\\Users\\20210306-f2\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
